City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
501,taoudenni,22.6783,-3.9836,111.06,7.0,0.0,16.08,ML,1716907272
502,luderitz,-26.6481,15.1594,70.9,53.0,61.0,10.11,NA,1716907273
503,tutoia,-2.7619,-42.2744,88.74,56.0,9.0,3.56,BR,1716907017
504,forster,-32.1667,152.5167,56.57,90.0,18.0,5.48,AU,1716907276
505,angaur state,6.906,134.13,84.16,78.0,72.0,11.45,PW,1716907277
507,solwezi,-12.1688,26.3894,73.8,37.0,60.0,4.85,ZM,1716907279
508,ciudad lazaro cardenas,17.9583,-102.2,87.73,44.0,1.0,2.24,MX,1716907280
509,neyriz,29.1988,54.3278,89.94,9.0,0.0,5.39,IR,1716907282
510,taounate,34.5,-4.8333,99.25,24.0,73.0,8.34,MA,1716907283
511,nabire,-3.3667,135.4833,76.91,92.0,4.0,3.09,ID,1716907284
512,nassau,40.7507,-73.5829,76.98,62.0,0.0,9.22,US,1716907285
513,paralimni,35.0375,33.9833,79.29,76.0,0.0,11.01,CY,1716907286
514,ulladulla,-35.35,150.4667,52.57,73.0,0.0,4.25,AU,1716907287
515,marsh harbour,26.5412,-77.0636,81.77,68.0,0.0,5.39,BS,1716906905
516,anloga,5.7947,0.8973,85.21,70.0,98.0,14.81,GH,1716907289
517,priozersk,61.0393,30.1291,73.0,61.0,20.0,8.3,RU,1716907291
518,brookings,44.3114,-96.7984,60.12,85.0,16.0,1.01,US,1716907194
519,carboneras,37.0015,-1.9213,82.9,70.0,7.0,13.42,ES,1716907293
520,haiku-pauwela,20.9219,-156.3051,74.05,81.0,75.0,7.0,US,1716907294
521,mae chai,19.346,99.814,78.26,90.0,100.0,6.06,TH,1716907295
522,arkhangel'sk,64.5401,40.5433,53.71,58.0,40.0,15.66,RU,1716907296
523,kariba,-16.5167,28.8,76.71,28.0,0.0,1.07,ZW,1716907297
524,magadan,59.5667,150.8,51.53,70.0,0.0,3.04,RU,1716907298
525,young,-32.6833,-57.6333,58.91,76.0,5.0,8.46,UY,1716907299
526,lionel town,17.8101,-77.2406,90.9,54.0,100.0,6.62,JM,1716907301
527,vadso,70.0744,29.7487,41.88,93.0,75.0,19.57,NO,1716907302
529,somerset,40.5668,-74.5496,76.84,61.0,0.0,9.22,US,1716907246
530,aripuana,-9.1667,-60.6333,86.41,48.0,88.0,5.26,BR,1716907305
531,mglin,53.0591,32.8475,70.45,66.0,48.0,10.09,RU,1716907306
532,nybro,56.7446,15.9071,70.61,45.0,8.0,10.8,SE,1716907307
533,tucumcari,35.1717,-103.725,74.95,60.0,0.0,5.75,US,1716907308
534,crete,35.1558,24.895,64.4,51.0,11.0,7.27,GR,1716907279
535,mareeba,-17.0,145.4333,68.49,84.0,96.0,5.35,AU,1716907311
536,howard springs,-12.497,131.047,80.51,93.0,100.0,4.23,AU,1716907312
537,iwanai,42.9744,140.5089,46.36,93.0,100.0,4.21,JP,1716907313
538,bataipora,-22.2953,-53.2711,60.4,55.0,23.0,6.55,BR,1716907314
539,borogontsy,62.6683,131.1683,54.99,77.0,100.0,2.26,RU,1716907315
540,dunblane,56.1884,-3.9642,57.07,97.0,100.0,5.55,GB,1716907316
541,puerto quijarro,-17.7833,-57.7667,70.97,38.0,0.0,4.94,BO,1716907317
542,gereida,11.2811,25.1414,106.36,12.0,12.0,10.6,SD,1716907318
543,as pontes de garcia rodriguez,43.4527,-7.8518,61.75,39.0,50.0,7.23,ES,1716907319
544,robertsport,6.7533,-11.3686,83.41,73.0,100.0,10.07,LR,1716907321
545,turkmenabat,39.0733,63.5786,87.78,15.0,0.0,13.8,TM,1716907322
546,taro,-8.3862,115.28,73.4,99.0,6.0,2.8,ID,1716907323
547,shaowu,27.3409,117.4831,69.94,88.0,100.0,2.39,CN,1716907324
548,gunjur,13.2019,-16.7339,96.87,49.0,40.0,4.61,GM,1716907325
549,corfu,39.62,19.9197,76.78,57.0,40.0,9.22,GR,1716907326
550,bilajer,40.5681,50.0378,75.02,53.0,0.0,6.91,AZ,1716907327
551,puerto cabezas,14.0351,-83.3888,89.56,74.0,40.0,11.5,NI,1716907329
552,flin flon,54.7682,-101.865,49.84,57.0,75.0,4.61,CA,1716907330
553,san patricio,28.017,-97.5169,90.32,59.0,70.0,14.0,US,1716907331
555,porto uniao,-26.2381,-51.0783,54.19,48.0,7.0,7.02,BR,1716907333
